metric,application,reference,absolute_difference,status
case_04.normality.dagostino.statistic,2.120068191714149,2.120068191714149,0.0,PASS
case_04.normality.shapiro.p,0.5106571978437816,0.5005482383073963,0.010108959536385353,PASS
case_04.normality.shapiro.reject_0_05,0.0,0.0,0.0,PASS
case_04.normality.shapiro.statistic,0.968942394004486,0.9685593995173553,0.00038299448713075,PASS
case_04.one_way.df1,2.0,2.0,0.0,PASS
case_04.one_way.df2,20.0,20.0,0.0,PASS
case_04.one_way.p,0.9090290622293263,0.9090290622293256,7.771561172376096e-16,PASS
case_04.one_way.statistic,0.09583451339642043,0.09583451339642098,5.412337245047638e-16,PASS
case_04.paired_t.df,8.0,8.0,0.0,PASS
case_04.paired_t.p,0.0004260538655445829,0.00042605386554459067,7.752045533271357e-18,PASS
case_04.paired_t.statistic,5.756005753239297,5.756005753239297,0.0,PASS
case_04.pearson.df,10.0,10.0,0.0,PASS
case_04.pearson.p,3.6284091651054204e-06,3.62840916510547e-06,4.955142741437657e-20,PASS
case_04.pearson.statistic,-0.9449513295612227,-0.9449513295612227,0.0,PASS
case_04.spearman.df,10.0,10.0,0.0,PASS
case_04.spearman.p,2.6067149003468905e-05,2.606714900346875e-05,1.5585406229479126e-19,PASS
case_04.spearman.statistic,-0.9175686178977971,-0.9175686178977972,1.1102230246251565e-16,PASS
case_04.two_way.factor_a.F,350.9623744351186,350.962374435117,1.5916157281026244e-12,PASS
case_04.two_way.factor_a.df1,1.0,1.0,0.0,PASS
case_04.two_way.factor_a.df2,18.0,18.0,0.0,PASS
case_04.two_way.factor_a.p,2.969218895153501e-13,2.969218895153614e-13,1.125862283931428e-26,PASS
case_04.two_way.factor_b.F,94.62610714427781,94.62610714427737,4.405364961712621e-13,PASS
case_04.two_way.factor_b.df1,2.0,2.0,0.0,PASS
case_04.two_way.factor_b.df2,18.0,18.0,0.0,PASS
case_04.two_way.factor_b.p,2.8116414201718087e-10,2.8116414201719095e-10,1.0081263715490025e-23,PASS
case_04.two_way.interaction.F,5.4178384176314225,5.41783841763144,1.7763568394002505e-14,PASS
case_04.two_way.interaction.df1,2.0,2.0,0.0,PASS
case_04.two_way.interaction.df2,18.0,18.0,0.0,PASS
case_04.two_way.interaction.p,0.014390676111819286,0.014390676111819089,1.97758476261356e-16,PASS
case_04.welch_one_way.df1,2.0,2.0,0.0,PASS
case_04.welch_one_way.df2,8.9,8.9,0.0,PASS
case_04.welch_one_way.p,0.874249539313846,0.8742495393138453,6.661338147750939e-16,PASS
case_04.welch_one_way.statistic,0.13643035247399052,0.13643035247399102,4.996003610813204e-16,PASS
case_04.welch_t.df,13.1,13.1,0.0,PASS
case_04.welch_t.p,0.6431760537373882,0.6431760537373887,5.551115123125783e-16,PASS
case_04.welch_t.statistic,0.4742124510820394,0.4742124510820394,0.0,PASS
case_04.wilcoxon.p,0.014266186701436423,0.014266186701446859,1.0436096431476471e-14,PASS
case_04.wilcoxon.statistic,0.0,0.0,0.0,PASS
case_05.friedman.df,2.0,2.0,0.0,PASS
case_05.friedman.p,5.718432307655341e-05,5.718432307658758e-05,3.416592096044946e-17,PASS
case_05.friedman.statistic,19.53846153846155,19.53846153846154,1.0658141036401503e-14,PASS
case_05.kruskal_wallis.df,2.0,2.0,0.0,PASS
case_05.kruskal_wallis.p,0.26602020710225427,0.26602020710224683,7.438494264988549e-15,PASS
case_05.kruskal_wallis.statistic,2.648366013071893,2.6483660130719002,7.105427357601002e-15,PASS
case_05.mann_whitney.p,0.05523425371798507,0.05523425371806385,7.877726249105876e-14,PASS
case_05.mann_whitney.statistic,4.0,4.0,0.0,PASS
case_05.mixed.df1,2.0,2.0,0.0,PASS
case_05.mixed.df2,20.0,20.0,0.0,PASS
case_05.mixed.icc,0.9281045849018689,0.9281045776830478,7.218821096444117e-09,PASS
case_05.mixed.p,1.575155219007608e-12,1.575184427338172e-12,2.9208330564114276e-17,PASS
case_05.mixed.statistic,141.44943739403953,141.44943651313469,8.80904849509534e-07,PASS
case_05.mixed_incomplete.df1,2.0,2.0,0.0,PASS
case_05.mixed_incomplete.df2,15.0,15.0,0.0,PASS
case_05.mixed_incomplete.icc,0.9292643255754806,0.9292643137769929,1.1798487631331511e-08,PASS
case_05.mixed_incomplete.p,6.329215559330051e-10,6.329217150380373e-10,1.5910503223540584e-16,PASS
case_05.mixed_incomplete.statistic,118.84205748517982,118.84205475460331,2.730576511567051e-06,PASS
case_05.normality.dagostino.p,0.005000527347780444,0.005000527347780453,9.540979117872439e-18,PASS
case_05.normality.dagostino.reject_0_05,1.0,1.0,0.0,PASS
case_05.normality.dagostino.statistic,10.596423805106943,10.596423805106937,5.329070518200751e-15,PASS
case_05.normality.shapiro.p,0.0023708546622219903,0.002366165830602448,4.688831619542415e-06,PASS
case_05.normality.shapiro.reject_0_05,1.0,1.0,0.0,PASS
case_05.normality.shapiro.statistic,0.8767073092687806,0.8766694741807644,3.783508801624702e-05,PASS
case_05.one_way.df1,2.0,2.0,0.0,PASS
case_05.one_way.df2,14.0,14.0,0.0,PASS
case_05.one_way.p,0.19148301609108212,0.1914830160910838,1.6930901125533637e-15,PASS
case_05.one_way.statistic,1.8644309230286369,1.8644309230286233,1.354472090042691e-14,PASS
case_05.paired_t.df,9.0,9.0,0.0,PASS
case_05.paired_t.p,0.007375406805033739,0.007375406805034382,6.435824095873954e-16,PASS
case_05.paired_t.statistic,3.4412952556529746,3.4412952556529746,0.0,PASS
case_05.pearson.df,11.0,11.0,0.0,PASS
case_05.pearson.p,3.171911817670824e-07,3.171911817670818e-07,5.823351512373315e-22,PASS
case_05.pearson.statistic,0.9565212392229077,0.9565212392229077,0.0,PASS
case_05.spearman.df,11.0,11.0,0.0,PASS
case_05.spearman.p,2.2072916982291701e-07,2.207291698229209e-07,3.891057601449442e-21,PASS
case_05.spearman.statistic,0.9593352801368052,0.9593352801368051,1.1102230246251565e-16,PASS
case_05.two_way.factor_a.F,123.10064317945901,123.10064317945901,0.0,PASS
case_05.two_way.factor_a.df1,1.0,1.0,0.0,PASS
case_05.two_way.factor_a.df2,18.0,18.0,0.0,PASS
case_05.two_way.factor_a.p,1.7639084715884653e-09,1.763908471588477e-09,1.1787323728880644e-23,PASS
case_05.two_way.factor_b.F,33.30783868599967,33.30783868599965,2.1316282072803006e-14,PASS
case_05.two_way.factor_b.df1,2.0,2.0,0.0,PASS
case_05.two_way.factor_b.df2,18.0,18.0,0.0,PASS
case_05.two_way.factor_b.p,8.920619737665456e-07,8.920619737665456e-07,0.0,PASS
case_05.two_way.interaction.F,4.61371642269003,4.613716422690019,1.0658141036401503e-14,PASS
case_05.two_way.interaction.df1,2.0,2.0,0.0,PASS
case_05.two_way.interaction.df2,18.0,18.0,0.0,PASS
case_05.two_way.interaction.p,0.02412083211437828,0.024120832114378335,5.551115123125783e-17,PASS
case_05.welch_one_way.df1,2.0,2.0,0.0,PASS
case_05.welch_one_way.df2,7.1,7.1,0.0,PASS
case_05.welch_one_way.p,0.04865027688254033,0.048650276882540935,6.036837696399289e-16,PASS
case_05.welch_one_way.statistic,4.775474407626269,4.775474407626241,2.7533531010703882e-14,PASS
case_05.welch_t.df,5.4,5.4,0.0,PASS
case_05.welch_t.p,0.03274240797541465,0.03274240797541798,3.3237301799715624e-15,PASS
case_05.welch_t.statistic,-2.843756021386214,-2.8437560213862048,9.325873406851315e-15,PASS
case_05.wilcoxon.p,0.03231291124321034,0.03231291124324409,3.375077994860476e-14,PASS
case_05.wilcoxon.statistic,6.0,6.0,0.0,PASS
case_06.friedman.df,2.0,2.0,0.0,PASS
case_06.friedman.p,0.0024787521766663767,0.0024787521766663585,1.8214596497756474e-17,PASS
case_06.friedman.statistic,12.0,12.0,0.0,PASS
case_06.kruskal_wallis.df,2.0,2.0,0.0,PASS
case_06.kruskal_wallis.p,0.015583157025513605,0.015583157025513586,1.9081958235744878e-17,PASS
case_06.kruskal_wallis.statistic,8.323129251700678,8.323129251700678,0.0,PASS
case_06.mann_whitney.p,0.0741455311112893,0.07414553111140686,1.1755874051999626e-13,PASS
case_06.mann_whitney.statistic,8.0,8.0,0.0,PASS
case_06.mixed.df1,2.0,2.0,0.0,PASS
case_06.mixed.df2,12.0,12.0,0.0,PASS
case_06.mixed.icc,0.9113783088679445,0.911378293452346,1.5415598464407765e-08,PASS
case_06.mixed.p,2.7393040733642614e-09,2.7393038948275716e-09,1.7853668976050394e-16,PASS
case_06.mixed.statistic,154.40252844265933,154.4025298972267,1.4545673820975935e-06,PASS
case_06.mixed_incomplete.df1,2.0,2.0,0.0,PASS
case_06.mixed_incomplete.df2,10.0,10.0,0.0,PASS
case_06.mixed_incomplete.icc,0.9104200697507777,0.9104200716826294,1.9318516786270834e-09,PASS
case_06.mixed_incomplete.p,5.68701991668106e-08,5.687021253919511e-08,1.3372384510038281e-14,PASS
case_06.mixed_incomplete.statistic,135.60250379277593,135.60249720874333,6.58403260445084e-06,PASS
case_06.normality.dagostino.p,1.8957778276009659e-25,1.8957778276014595e-25,4.936157918492028e-38,PASS
case_06.normality.dagostino.reject_0_05,1.0,1.0,0.0,PASS
